ffmpeg version N-82167-g5e96558 Copyright (c) 2000-2016 the FFmpeg developers
  built with gcc 5.4.0 (Ubuntu 5.4.0-6ubuntu1~16.04.2) 20160609
  configuration: --prefix=/root/ffmpeg_build --pkg-config-flags=--static --extra-cflags=-I/root/ffmpeg_build/include --extra-ldflags=-L/root/ffmpeg_build/lib --bindir=/root/bin --enable-gpl --enable-libass --enable-libfdk-aac --enable-libfreetype --enable-libmp3lame --enable-libopus --enable-libtheora --enable-libvorbis --enable-libx264 --enable-libx265 --enable-nonfree
  libavutil      55. 35.100 / 55. 35.100
  libavcodec     57. 65.100 / 57. 65.100
  libavformat    57. 57.100 / 57. 57.100
  libavdevice    57.  2.100 / 57.  2.100
  libavfilter     6. 66.100 /  6. 66.100
  libswscale      4.  3.100 /  4.  3.100
  libswresample   2.  4.100 /  2.  4.100
  libpostproc    54.  2.100 / 54.  2.100
Input #0, matroska,webm, from '/media/yubikiri/bot/queue/3AnimePahe_Detective_Conan_-_063_720p_Fansub.mkv':
  Metadata:
    title           : 3|Text||0|0
    ALBUM           : Anime
    LANGUAGE        : Undefined
    ENCODER         : Lavf57.57.100
  Duration: 00:24:27.63, start: 0.000000, bitrate: 977 kb/s
    Stream #0:0: Video: mpeg4 (Advanced Simple Profile), yuv420p, 640x480 [SAR 1:1 DAR 4:3], 23.98 fps, 23.98 tbr, 1k tbn, 23.98 tbc (default)
    Metadata:
      DURATION        : 00:24:27.633000000
    Stream #0:1: Audio: mp3, 48000 Hz, stereo, s16p, 128 kb/s (default)
    Metadata:
      DURATION        : 00:24:27.600000000
[libx264 @ 0x24dcdc0] using SAR=1/1
[libx264 @ 0x24dcdc0] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 AVX2 LZCNT BMI2
[libx264 @ 0x24dcdc0] profile High, level 3.1
[libx264 @ 0x24dcdc0] 264 - core 148 r2643 5c65704 - H.264/MPEG-4 AVC codec - Copyleft 2003-2015 - http://www.videolan.org/x264.html - options: cabac=1 ref=8 deblock=1:1:1 analyse=0x3:0x133 me=umh subme=7 psy=1 psy_rd=0.00:0.00 mixed_ref=1 me_range=8 chroma_me=1 trellis=0 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=8 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=2 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=240 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=crf mbtree=1 crf=27.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
[libfdk_aac @ 0x24da700] Note, the VBR setting is unsupported and only works with some parameter combinations
Output #0, mp4, to '/media/yubikiri/bot/queue/3AnimePahe_Detective_Conan_-_063_720p_Fansub.mkv_encoded.mp4':
  Metadata:
    encoder         : Lavf57.57.100
    Stream #0:0: Video: h264 (libx264) ([33][0][0][0] / 0x0021), yuv420p, 640x480 [SAR 1:1 DAR 4:3], q=-1--1, 23.98 fps, 24k tbn, 23.98 tbc (default)
    Metadata:
      encoder         : Lavc57.65.100 libx264
    Side data:
      cpb: bitrate max/min/avg: 0/0/0 buffer size: 0 vbv_delay: -1
    Stream #0:1: Audio: aac (libfdk_aac) (HE-AACv2) ([64][0][0][0] / 0x0040), 48000 Hz, stereo, s16, 48 kb/s (default)
    Metadata:
      encoder         : Lavc57.65.100 libfdk_aac
Stream mapping:
  Stream #0:0 -> #0:0 (mpeg4 (native) -> h264 (libx264))
  Stream #0:1 -> #0:1 (mp3 (native) -> aac (libfdk_aac))
Press [q] to stop, [?] for help
frame=  114 fps=0.0 q=32.0 size=     101kB time=00:00:04.92 bitrate= 168.2kbits/s dup=1 drop=0 speed=9.78x    
frame=  178 fps=176 q=32.0 size=     261kB time=00:00:07.57 bitrate= 281.9kbits/s dup=1 drop=0 speed=7.47x    
frame=  250 fps=165 q=32.0 size=     450kB time=00:00:10.60 bitrate= 347.3kbits/s dup=1 drop=0 speed=6.99x    
frame=  310 fps=154 q=32.0 size=     601kB time=00:00:13.07 bitrate= 376.3kbits/s dup=1 drop=0 speed=6.48x    
frame=  370 fps=147 q=32.0 size=     764kB time=00:00:15.59 bitrate= 401.3kbits/s dup=1 drop=0 speed=6.19x    
frame=  448 fps=147 q=32.0 size=     963kB time=00:00:18.83 bitrate= 418.8kbits/s dup=1 drop=0 speed=6.19x    
frame=  511 fps=144 q=32.0 size=    1148kB time=00:00:21.48 bitrate= 437.8kbits/s dup=1 drop=0 speed=6.06x    
frame=  583 fps=144 q=32.0 size=    1291kB time=00:00:24.47 bitrate= 432.2kbits/s dup=1 drop=0 speed=6.04x    
frame=  655 fps=143 q=32.0 size=    1445kB time=00:00:27.49 bitrate= 430.3kbits/s dup=1 drop=0 speed=6.02x    
frame=  760 fps=150 q=32.0 size=    1576kB time=00:00:31.85 bitrate= 405.4kbits/s dup=1 drop=0 speed=6.28x    
frame=  825 fps=148 q=32.0 size=    1742kB time=00:00:34.53 bitrate= 413.1kbits/s dup=1 drop=0 speed=6.18x    
frame=  909 fps=149 q=32.0 size=    1872kB time=00:00:38.08 bitrate= 402.7kbits/s dup=1 drop=0 speed=6.25x    
frame=  969 fps=147 q=32.0 size=    2033kB time=00:00:40.59 bitrate= 410.2kbits/s dup=1 drop=0 speed=6.16x    
frame= 1019 fps=144 q=32.0 size=    2215kB time=00:00:42.64 bitrate= 425.4kbits/s dup=1 drop=0 speed=6.01x    
frame= 1089 fps=143 q=32.0 size=    2398kB time=00:00:45.59 bitrate= 431.0kbits/s dup=1 drop=0 speed=   6x    
frame= 1158 fps=142 q=32.0 size=    2577kB time=00:00:48.44 bitrate= 435.8kbits/s dup=1 drop=0 speed=5.95x    
frame= 1216 fps=141 q=32.0 size=    2768kB time=00:00:50.88 bitrate= 445.7kbits/s dup=1 drop=0 speed=5.89x    
frame= 1272 fps=139 q=32.0 size=    2917kB time=00:00:53.22 bitrate= 449.0kbits/s dup=1 drop=0 speed=5.82x    
frame= 1347 fps=140 q=32.0 size=    3089kB time=00:00:56.34 bitrate= 449.1kbits/s dup=1 drop=0 speed=5.84x    
frame= 1439 fps=142 q=32.0 size=    3200kB time=00:01:00.18 bitrate= 435.6kbits/s dup=1 drop=0 speed=5.93x    
frame= 1503 fps=141 q=32.0 size=    3299kB time=00:01:02.87 bitrate= 429.8kbits/s dup=1 drop=0 speed= 5.9x    
frame= 1564 fps=140 q=32.0 size=    3411kB time=00:01:05.38 bitrate= 427.3kbits/s dup=1 drop=0 speed=5.85x    
frame= 1611 fps=138 q=32.0 size=    3538kB time=00:01:07.35 bitrate= 430.3kbits/s dup=1 drop=0 speed=5.75x    
frame= 1663 fps=136 q=32.0 size=    3660kB time=00:01:09.52 bitrate= 431.2kbits/s dup=1 drop=0 speed=5.69x    
frame= 1716 fps=135 q=32.0 size=    3783kB time=00:01:11.74 bitrate= 431.9kbits/s dup=1 drop=0 speed=5.64x    
frame= 1802 fps=136 q=32.0 size=    3932kB time=00:01:15.28 bitrate= 427.8kbits/s dup=1 drop=0 speed=5.69x    
frame= 1865 fps=136 q=32.0 size=    4079kB time=00:01:17.93 bitrate= 428.8kbits/s dup=1 drop=0 speed=5.68x    
frame= 1939 fps=136 q=32.0 size=    4200kB time=00:01:21.00 bitrate= 424.8kbits/s dup=1 drop=0 speed=5.69x    
frame= 1996 fps=135 q=32.0 size=    4347kB time=00:01:23.39 bitrate= 427.0kbits/s dup=1 drop=0 speed=5.66x    
frame= 2027 fps=133 q=32.0 size=    4488kB time=00:01:24.71 bitrate= 434.0kbits/s dup=1 drop=0 speed=5.54x    
frame= 2065 fps=131 q=32.0 size=    4671kB time=00:01:26.25 bitrate= 443.7kbits/s dup=1 drop=0 speed=5.46x    
frame= 2101 fps=129 q=32.0 size=    4774kB time=00:01:27.78 bitrate= 445.5kbits/s dup=1 drop=0 speed=5.39x    
frame= 2160 fps=129 q=32.0 size=    4907kB time=00:01:30.21 bitrate= 445.5kbits/s dup=1 drop=0 speed=5.37x    
frame= 2244 fps=130 q=32.0 size=    5027kB time=00:01:33.71 bitrate= 439.5kbits/s dup=1 drop=0 speed=5.42x    
frame= 2374 fps=133 q=32.0 size=    5153kB time=00:01:39.17 bitrate= 425.6kbits/s dup=1 drop=0 speed=5.56x    
frame= 2497 fps=136 q=32.0 size=    5276kB time=00:01:44.29 bitrate= 414.4kbits/s dup=1 drop=0 speed=5.69x    
frame= 2571 fps=137 q=32.0 size=    5428kB time=00:01:47.41 bitrate= 413.9kbits/s dup=1 drop=0 speed=5.71x    
frame= 2629 fps=136 q=32.0 size=    5561kB time=00:01:49.80 bitrate= 414.9kbits/s dup=1 drop=0 speed=5.68x    
frame= 2684 fps=135 q=32.0 size=    5723kB time=00:01:52.10 bitrate= 418.2kbits/s dup=1 drop=0 speed=5.65x    
frame= 2746 fps=135 q=32.0 size=    5846kB time=00:01:54.66 bitrate= 417.6kbits/s dup=1 drop=0 speed=5.64x    
frame= 2778 fps=133 q=32.0 size=    5903kB time=00:01:56.03 bitrate= 416.7kbits/s dup=1 drop=0 speed=5.57x    
frame= 2818 fps=132 q=32.0 size=    5978kB time=00:01:57.69 bitrate= 416.1kbits/s dup=1 drop=0 speed=5.52x    
frame= 2859 fps=131 q=32.0 size=    6055kB time=00:01:59.40 bitrate= 415.4kbits/s dup=1 drop=0 speed=5.47x    
frame= 2926 fps=131 q=32.0 size=    6191kB time=00:02:02.21 bitrate= 414.9kbits/s dup=1 drop=0 speed=5.47x    
frame= 2974 fps=130 q=32.0 size=    6256kB time=00:02:04.18 bitrate= 412.7kbits/s dup=1 drop=0 speed=5.44x    
frame= 3017 fps=129 q=32.0 size=    6307kB time=00:02:06.01 bitrate= 410.0kbits/s dup=1 drop=0 speed= 5.4x    
frame= 3060 fps=128 q=32.0 size=    6360kB time=00:02:07.76 bitrate= 407.8kbits/s dup=1 drop=0 speed=5.36x    
frame= 3116 fps=128 q=32.0 size=    6433kB time=00:02:10.11 bitrate= 405.0kbits/s dup=1 drop=0 speed=5.34x    
frame= 3176 fps=128 q=32.0 size=    6534kB time=00:02:12.63 bitrate= 403.6kbits/s dup=1 drop=0 speed=5.34x    
frame= 3243 fps=128 q=32.0 size=    6614kB time=00:02:15.40 bitrate= 400.1kbits/s dup=1 drop=0 speed=5.34x    
frame= 3312 fps=128 q=32.0 size=    6721kB time=00:02:18.30 bitrate= 398.1kbits/s dup=1 drop=0 speed=5.35x    
frame= 3378 fps=128 q=32.0 size=    6778kB time=00:02:21.03 bitrate= 393.7kbits/s dup=1 drop=0 speed=5.35x    
frame= 3420 fps=127 q=32.0 size=    6877kB time=00:02:22.78 bitrate= 394.6kbits/s dup=1 drop=0 speed=5.31x    
frame= 3498 fps=128 q=32.0 size=    6964kB time=00:02:26.07 bitrate= 390.6kbits/s dup=1 drop=0 speed=5.33x    
frame= 3571 fps=128 q=32.0 size=    7071kB time=00:02:29.09 bitrate= 388.5kbits/s dup=1 drop=0 speed=5.34x    
frame= 3630 fps=128 q=32.0 size=    7127kB time=00:02:31.57 bitrate= 385.2kbits/s dup=1 drop=0 speed=5.34x    
frame= 3686 fps=127 q=32.0 size=    7186kB time=00:02:33.87 bitrate= 382.6kbits/s dup=1 drop=0 speed=5.32x    
frame= 3742 fps=127 q=32.0 size=    7244kB time=00:02:36.22 bitrate= 379.9kbits/s dup=1 drop=0 speed=5.31x    
frame= 3788 fps=126 q=32.0 size=    7348kB time=00:02:38.14 bitrate= 380.6kbits/s dup=1 drop=0 speed=5.28x    
frame= 3825 fps=126 q=32.0 size=    7437kB time=00:02:39.68 bitrate= 381.5kbits/s dup=1 drop=0 speed=5.24x    
frame= 3853 fps=124 q=32.0 size=    7506kB time=00:02:40.87 bitrate= 382.2kbits/s dup=1 drop=0 speed=5.19x    
frame= 3904 fps=124 q=32.0 size=    7582kB time=00:02:42.96 bitrate= 381.1kbits/s dup=1 drop=0 speed=5.17x    
frame= 3954 fps=123 q=32.0 size=    7655kB time=00:02:45.05 bitrate= 379.9kbits/s dup=1 drop=0 speed=5.15x    
frame= 3983 fps=122 q=32.0 size=    7728kB time=00:02:46.25 bitrate= 380.8kbits/s dup=1 drop=0 speed=5.11x    
frame= 4023 fps=122 q=32.0 size=    7794kB time=00:02:47.95 bitrate= 380.1kbits/s dup=1 drop=0 speed=5.08x    
frame= 4072 fps=121 q=32.0 size=    7895kB time=00:02:50.00 bitrate= 380.4kbits/s dup=1 drop=0 speed=5.07x    
frame= 4115 fps=121 q=32.0 size=    7972kB time=00:02:51.79 bitrate= 380.1kbits/s dup=1 drop=0 speed=5.05x    
frame= 4172 fps=121 q=32.0 size=    8066kB time=00:02:54.18 bitrate= 379.3kbits/s dup=1 drop=0 speed=5.04x    
frame= 4218 fps=120 q=32.0 size=    8155kB time=00:02:56.10 bitrate= 379.3kbits/s dup=1 drop=0 speed=5.02x    
frame= 4272 fps=120 q=32.0 size=    8255kB time=00:02:58.32 bitrate= 379.2kbits/s dup=1 drop=0 speed=5.01x    
frame= 4335 fps=120 q=32.0 size=    8320kB time=00:03:00.97 bitrate= 376.6kbits/s dup=1 drop=0 speed=5.02x    
frame= 4389 fps=120 q=32.0 size=    8434kB time=00:03:03.23 bitrate= 377.1kbits/s dup=1 drop=0 speed=5.01x    
frame= 4443 fps=120 q=32.0 size=    8522kB time=00:03:05.45 bitrate= 376.5kbits/s dup=1 drop=0 speed=   5x    
frame= 4508 fps=120 q=32.0 size=    8625kB time=00:03:08.18 bitrate= 375.5kbits/s dup=1 drop=0 speed=5.01x    
frame= 4577 fps=120 q=32.0 size=    8681kB time=00:03:11.08 bitrate= 372.2kbits/s dup=1 drop=0 speed=5.02x    
frame= 4637 fps=120 q=32.0 size=    8801kB time=00:03:13.60 bitrate= 372.4kbits/s dup=1 drop=0 speed=5.02x    
frame= 4694 fps=120 q=32.0 size=    8867kB time=00:03:15.94 bitrate= 370.7kbits/s dup=1 drop=0 speed=5.01x    
frame= 4737 fps=120 q=32.0 size=    8983kB time=00:03:17.73 bitrate= 372.1kbits/s dup=1 drop=0 speed=4.99x    
frame= 4793 fps=119 q=32.0 size=    9069kB time=00:03:20.04 bitrate= 371.4kbits/s dup=1 drop=0 speed=4.99x    
frame= 4849 fps=119 q=32.0 size=    9134kB time=00:03:22.39 bitrate= 369.7kbits/s dup=1 drop=0 speed=4.98x    
frame= 4921 fps=120 q=32.0 size=    9248kB time=00:03:25.41 bitrate= 368.8kbits/s dup=1 drop=0 speed=4.99x    
frame= 4996 fps=120 q=32.0 size=    9338kB time=00:03:28.53 bitrate= 366.8kbits/s dup=1 drop=0 speed=   5x    
frame= 5058 fps=120 q=32.0 size=    9409kB time=00:03:31.13 bitrate= 365.0kbits/s dup=1 drop=0 speed=   5x    
frame= 5112 fps=120 q=32.0 size=    9472kB time=00:03:33.39 bitrate= 363.6kbits/s dup=1 drop=0 speed=4.99x    
frame= 5161 fps=119 q=32.0 size=    9584kB time=00:03:35.40 bitrate= 364.5kbits/s dup=1 drop=0 speed=4.98x    
frame= 5220 fps=119 q=32.0 size=    9634kB time=00:03:37.87 bitrate= 362.2kbits/s dup=1 drop=0 speed=4.98x    
frame= 5288 fps=120 q=32.0 size=    9756kB time=00:03:40.69 bitrate= 362.1kbits/s dup=1 drop=0 speed=4.99x    
frame= 5345 fps=119 q=32.0 size=    9827kB time=00:03:43.08 bitrate= 360.9kbits/s dup=1 drop=0 speed=4.98x    
frame= 5407 fps=119 q=32.0 size=    9898kB time=00:03:45.68 bitrate= 359.3kbits/s dup=1 drop=0 speed=4.98x    
frame= 5475 fps=120 q=32.0 size=   10007kB time=00:03:48.50 bitrate= 358.8kbits/s dup=1 drop=0 speed=4.99x    
frame= 5540 fps=120 q=32.0 size=   10068kB time=00:03:51.23 bitrate= 356.7kbits/s dup=1 drop=0 speed=   5x    
frame= 5597 fps=120 q=32.0 size=   10173kB time=00:03:53.57 bitrate= 356.8kbits/s dup=1 drop=0 speed=4.99x    
frame= 5652 fps=119 q=32.0 size=   10237kB time=00:03:55.88 bitrate= 355.5kbits/s dup=1 drop=0 speed=4.98x    
frame= 5686 fps=119 q=32.0 size=   10357kB time=00:03:57.29 bitrate= 357.6kbits/s dup=1 drop=0 speed=4.96x    
frame= 5750 fps=119 q=32.0 size=   10441kB time=00:03:59.97 bitrate= 356.4kbits/s dup=1 drop=0 speed=4.96x    
frame= 5820 fps=119 q=32.0 size=   10539kB time=00:04:02.88 bitrate= 355.5kbits/s dup=1 drop=0 speed=4.97x    
frame= 5891 fps=119 q=32.0 size=   10613kB time=00:04:05.86 bitrate= 353.6kbits/s dup=1 drop=0 speed=4.98x    
frame= 5959 fps=119 q=32.0 size=   10719kB time=00:04:08.68 bitrate= 353.1kbits/s dup=1 drop=0 speed=4.98x    
frame= 6019 fps=119 q=32.0 size=   10789kB time=00:04:11.20 bitrate= 351.8kbits/s dup=1 drop=0 speed=4.98x    
frame= 6102 fps=120 q=32.0 size=   10882kB time=00:04:14.65 bitrate= 350.1kbits/s dup=1 drop=0 speed=   5x    
frame= 6164 fps=120 q=32.0 size=   10952kB time=00:04:17.25 bitrate= 348.8kbits/s dup=1 drop=0 speed=   5x    
frame= 6200 fps=119 q=32.0 size=   11019kB time=00:04:18.75 bitrate= 348.9kbits/s dup=1 drop=0 speed=4.98x    
frame= 6242 fps=119 q=32.0 size=   11098kB time=00:04:20.50 bitrate= 349.0kbits/s dup=1 drop=0 speed=4.96x    
frame= 6281 fps=119 q=32.0 size=   11178kB time=00:04:22.12 bitrate= 349.3kbits/s dup=1 drop=0 speed=4.95x    
frame= 6320 fps=118 q=32.0 size=   11284kB time=00:04:23.74 bitrate= 350.5kbits/s dup=1 drop=0 speed=4.93x    
frame= 6366 fps=118 q=32.0 size=   11376kB time=00:04:25.70 bitrate= 350.7kbits/s dup=1 drop=0 speed=4.92x    
frame= 6430 fps=118 q=32.0 size=   11464kB time=00:04:28.35 bitrate= 350.0kbits/s dup=1 drop=0 speed=4.92x    
frame= 6504 fps=118 q=32.0 size=   11532kB time=00:04:31.42 bitrate= 348.1kbits/s dup=1 drop=0 speed=4.93x    
frame= 6566 fps=118 q=32.0 size=   11609kB time=00:04:34.02 bitrate= 347.0kbits/s dup=1 drop=0 speed=4.93x    
frame= 6603 fps=118 q=32.0 size=   11726kB time=00:04:35.56 bitrate= 348.6kbits/s dup=1 drop=0 speed=4.92x    
frame= 6667 fps=118 q=32.0 size=   11800kB time=00:04:38.25 bitrate= 347.4kbits/s dup=1 drop=0 speed=4.92x    
frame= 6733 fps=118 q=32.0 size=   11864kB time=00:04:40.98 bitrate= 345.9kbits/s dup=1 drop=0 speed=4.92x    
frame= 6803 fps=118 q=32.0 size=   11968kB time=00:04:43.88 bitrate= 345.3kbits/s dup=1 drop=0 speed=4.93x    
frame= 6869 fps=118 q=32.0 size=   12055kB time=00:04:46.69 bitrate= 344.4kbits/s dup=1 drop=0 speed=4.94x    
frame= 6953 fps=119 q=32.0 size=   12171kB time=00:04:50.15 bitrate= 343.6kbits/s dup=1 drop=0 speed=4.95x    
frame= 7031 fps=119 q=32.0 size=   12245kB time=00:04:53.39 bitrate= 341.9kbits/s dup=1 drop=0 speed=4.96x    
frame= 7119 fps=119 q=32.0 size=   12358kB time=00:04:57.06 bitrate= 340.8kbits/s dup=1 drop=0 speed=4.98x    
