ffmpeg version N-82167-g5e96558 Copyright (c) 2000-2016 the FFmpeg developers
  built with gcc 5.4.0 (Ubuntu 5.4.0-6ubuntu1~16.04.2) 20160609
  configuration: --prefix=/root/ffmpeg_build --pkg-config-flags=--static --extra-cflags=-I/root/ffmpeg_build/include --extra-ldflags=-L/root/ffmpeg_build/lib --bindir=/root/bin --enable-gpl --enable-libass --enable-libfdk-aac --enable-libfreetype --enable-libmp3lame --enable-libopus --enable-libtheora --enable-libvorbis --enable-libx264 --enable-libx265 --enable-nonfree
  libavutil      55. 35.100 / 55. 35.100
  libavcodec     57. 65.100 / 57. 65.100
  libavformat    57. 57.100 / 57. 57.100
  libavdevice    57.  2.100 / 57.  2.100
  libavfilter     6. 66.100 /  6. 66.100
  libswscale      4.  3.100 /  4.  3.100
  libswresample   2.  4.100 /  2.  4.100
  libpostproc    54.  2.100 / 54.  2.100
Input #0, matroska,webm, from '/media/yubikiri/bot/queue/3AnimePahe_Detective_Conan_-_052_720p_Fansub.mkv':
  Metadata:
    title           : 3|Text||0|0
    ALBUM           : Anime
    LANGUAGE        : Undefined
    ENCODER         : Lavf57.57.100
  Duration: 00:47:44.95, start: 0.000000, bitrate: 1003 kb/s
    Stream #0:0: Video: mpeg4 (Advanced Simple Profile), yuv420p, 640x480 [SAR 1:1 DAR 4:3], 23.98 fps, 23.98 tbr, 1k tbn, 23.98 tbc (default)
    Metadata:
      DURATION        : 00:47:44.946000000
    Stream #0:1: Audio: mp3, 48000 Hz, stereo, s16p, 192 kb/s (default)
    Metadata:
      DURATION        : 00:47:44.904000000
[libx264 @ 0x29d5360] using SAR=1/1
[libx264 @ 0x29d5360] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 AVX2 LZCNT BMI2
[libx264 @ 0x29d5360] profile High, level 3.1
[libx264 @ 0x29d5360] 264 - core 148 r2643 5c65704 - H.264/MPEG-4 AVC codec - Copyleft 2003-2015 - http://www.videolan.org/x264.html - options: cabac=1 ref=8 deblock=1:1:1 analyse=0x3:0x133 me=umh subme=7 psy=1 psy_rd=0.00:0.00 mixed_ref=1 me_range=8 chroma_me=1 trellis=0 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=8 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=2 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=240 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=crf mbtree=1 crf=27.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
[libfdk_aac @ 0x29cb360] Note, the VBR setting is unsupported and only works with some parameter combinations
Output #0, mp4, to '/media/yubikiri/bot/queue/3AnimePahe_Detective_Conan_-_052_720p_Fansub.mkv_encoded.mp4':
  Metadata:
    encoder         : Lavf57.57.100
    Stream #0:0: Video: h264 (libx264) ([33][0][0][0] / 0x0021), yuv420p, 640x480 [SAR 1:1 DAR 4:3], q=-1--1, 23.98 fps, 24k tbn, 23.98 tbc (default)
    Metadata:
      encoder         : Lavc57.65.100 libx264
    Side data:
      cpb: bitrate max/min/avg: 0/0/0 buffer size: 0 vbv_delay: -1
    Stream #0:1: Audio: aac (libfdk_aac) (HE-AACv2) ([64][0][0][0] / 0x0040), 48000 Hz, stereo, s16, 48 kb/s (default)
    Metadata:
      encoder         : Lavc57.65.100 libfdk_aac
Stream mapping:
  Stream #0:0 -> #0:0 (mpeg4 (native) -> h264 (libx264))
  Stream #0:1 -> #0:1 (mp3 (native) -> aac (libfdk_aac))
Press [q] to stop, [?] for help
frame=  135 fps=0.0 q=32.0 size=      82kB time=00:00:05.78 bitrate= 116.7kbits/s dup=1 drop=0 speed=11.5x    
frame=  214 fps=210 q=32.0 size=     246kB time=00:00:09.11 bitrate= 221.5kbits/s dup=1 drop=0 speed=8.94x    
frame=  269 fps=177 q=32.0 size=     370kB time=00:00:11.37 bitrate= 266.5kbits/s dup=1 drop=0 speed=7.48x    
frame=  328 fps=162 q=32.0 size=     505kB time=00:00:13.84 bitrate= 298.6kbits/s dup=1 drop=0 speed=6.85x    
frame=  411 fps=162 q=32.0 size=     652kB time=00:00:17.30 bitrate= 308.8kbits/s dup=1 drop=0 speed=6.82x    
frame=  480 fps=158 q=32.0 size=     781kB time=00:00:20.20 bitrate= 316.6kbits/s dup=1 drop=0 speed=6.65x    
frame=  529 fps=147 q=32.0 size=     908kB time=00:00:22.20 bitrate= 334.8kbits/s dup=1 drop=0 speed=6.19x    
frame=  587 fps=143 q=32.0 size=    1037kB time=00:00:24.64 bitrate= 344.7kbits/s dup=1 drop=0 speed=5.99x    
frame=  670 fps=145 q=32.0 size=    1162kB time=00:00:28.09 bitrate= 338.8kbits/s dup=1 drop=0 speed=6.09x    
frame=  724 fps=142 q=32.0 size=    1300kB time=00:00:30.35 bitrate= 350.9kbits/s dup=1 drop=0 speed=5.94x    
frame=  770 fps=137 q=32.0 size=    1468kB time=00:00:32.27 bitrate= 372.5kbits/s dup=1 drop=0 speed=5.73x    
frame=  842 fps=137 q=32.0 size=    1605kB time=00:00:35.26 bitrate= 372.9kbits/s dup=1 drop=0 speed=5.74x    
frame=  891 fps=134 q=32.0 size=    1703kB time=00:00:37.31 bitrate= 374.0kbits/s dup=1 drop=0 speed=5.61x    
frame=  937 fps=130 q=32.0 size=    1823kB time=00:00:39.23 bitrate= 380.6kbits/s dup=1 drop=0 speed=5.44x    
frame=  979 fps=127 q=32.0 size=    1894kB time=00:00:40.98 bitrate= 378.6kbits/s dup=1 drop=0 speed=5.31x    
frame= 1011 fps=123 q=32.0 size=    1968kB time=00:00:42.34 bitrate= 380.6kbits/s dup=1 drop=0 speed=5.14x    
frame= 1072 fps=123 q=32.0 size=    2114kB time=00:00:44.86 bitrate= 386.0kbits/s dup=1 drop=0 speed=5.13x    
frame= 1140 fps=123 q=32.0 size=    2215kB time=00:00:47.72 bitrate= 380.2kbits/s dup=1 drop=0 speed=5.14x    
frame= 1206 fps=123 q=32.0 size=    2341kB time=00:00:50.45 bitrate= 380.1kbits/s dup=1 drop=0 speed=5.14x    
frame= 1258 fps=122 q=32.0 size=    2474kB time=00:00:52.63 bitrate= 385.2kbits/s dup=1 drop=0 speed=5.09x    
frame= 1290 fps=118 q=32.0 size=    2556kB time=00:00:53.95 bitrate= 388.0kbits/s dup=1 drop=0 speed=4.94x    
frame= 1328 fps=116 q=32.0 size=    2658kB time=00:00:55.57 bitrate= 391.8kbits/s dup=1 drop=0 speed=4.86x    
frame= 1352 fps=113 q=32.0 size=    2763kB time=00:00:56.55 bitrate= 400.3kbits/s dup=1 drop=0 speed=4.74x    
frame= 1388 fps=112 q=32.0 size=    2859kB time=00:00:58.04 bitrate= 403.5kbits/s dup=1 drop=0 speed=4.67x    
frame= 1430 fps=110 q=32.0 size=    2934kB time=00:00:59.79 bitrate= 401.9kbits/s dup=1 drop=0 speed=4.62x    
frame= 1463 fps=108 q=32.0 size=    2983kB time=00:01:01.16 bitrate= 399.6kbits/s dup=1 drop=0 speed=4.53x    
frame= 1497 fps=107 q=32.0 size=    3119kB time=00:01:02.57 bitrate= 408.4kbits/s dup=1 drop=0 speed=4.47x    
frame= 1545 fps=106 q=32.0 size=    3214kB time=00:01:04.61 bitrate= 407.4kbits/s dup=1 drop=0 speed=4.45x    
frame= 1605 fps=107 q=32.0 size=    3341kB time=00:01:07.09 bitrate= 408.0kbits/s dup=1 drop=0 speed=4.46x    
frame= 1650 fps=106 q=32.0 size=    3479kB time=00:01:08.97 bitrate= 413.2kbits/s dup=1 drop=0 speed=4.44x    
frame= 1696 fps=106 q=32.0 size=    3616kB time=00:01:10.89 bitrate= 417.9kbits/s dup=1 drop=0 speed=4.42x    
frame= 1746 fps=106 q=32.0 size=    3729kB time=00:01:12.98 bitrate= 418.5kbits/s dup=1 drop=0 speed=4.41x    
frame= 1788 fps=105 q=32.0 size=    3861kB time=00:01:14.73 bitrate= 423.3kbits/s dup=1 drop=0 speed=4.38x    
frame= 1832 fps=104 q=32.0 size=    3963kB time=00:01:16.56 bitrate= 424.0kbits/s dup=1 drop=0 speed=4.35x    
frame= 1880 fps=104 q=32.0 size=    4108kB time=00:01:18.57 bitrate= 428.4kbits/s dup=1 drop=0 speed=4.34x    
frame= 1924 fps=103 q=32.0 size=    4206kB time=00:01:20.40 bitrate= 428.5kbits/s dup=1 drop=0 speed=4.32x    
frame= 1967 fps=103 q=32.0 size=    4313kB time=00:01:22.19 bitrate= 429.9kbits/s dup=1 drop=0 speed= 4.3x    
frame= 2012 fps=102 q=32.0 size=    4440kB time=00:01:24.07 bitrate= 432.6kbits/s dup=1 drop=0 speed=4.28x    
frame= 2059 fps=102 q=32.0 size=    4544kB time=00:01:26.08 bitrate= 432.5kbits/s dup=1 drop=0 speed=4.27x    
frame= 2115 fps=102 q=32.0 size=    4643kB time=00:01:28.38 bitrate= 430.3kbits/s dup=1 drop=0 speed=4.28x    
frame= 2161 fps=102 q=32.0 size=    4737kB time=00:01:30.30 bitrate= 429.7kbits/s dup=1 drop=0 speed=4.27x    
frame= 2261 fps=104 q=32.0 size=    4855kB time=00:01:34.48 bitrate= 421.0kbits/s dup=1 drop=0 speed=4.37x    
frame= 2389 fps=108 q=32.0 size=    4943kB time=00:01:39.77 bitrate= 405.8kbits/s dup=1 drop=0 speed=4.51x    
frame= 2490 fps=110 q=32.0 size=    5017kB time=00:01:44.00 bitrate= 395.2kbits/s dup=1 drop=0 speed=4.59x    
frame= 2600 fps=112 q=32.0 size=    5132kB time=00:01:48.60 bitrate= 387.1kbits/s dup=1 drop=0 speed=4.69x    
frame= 2669 fps=113 q=32.0 size=    5227kB time=00:01:51.46 bitrate= 384.1kbits/s dup=1 drop=0 speed=4.71x    
frame= 2715 fps=112 q=32.0 size=    5338kB time=00:01:53.43 bitrate= 385.5kbits/s dup=1 drop=0 speed= 4.7x    
frame= 2758 fps=112 q=32.0 size=    5459kB time=00:01:55.17 bitrate= 388.3kbits/s dup=1 drop=0 speed=4.67x    
frame= 2804 fps=111 q=32.0 size=    5586kB time=00:01:57.09 bitrate= 390.8kbits/s dup=1 drop=0 speed=4.65x    
frame= 2875 fps=112 q=32.0 size=    5715kB time=00:02:00.08 bitrate= 389.9kbits/s dup=1 drop=0 speed=4.68x    
frame= 2917 fps=111 q=32.0 size=    5777kB time=00:02:01.83 bitrate= 388.4kbits/s dup=1 drop=0 speed=4.65x    
frame= 2986 fps=112 q=32.0 size=    5848kB time=00:02:04.69 bitrate= 384.2kbits/s dup=1 drop=0 speed=4.67x    
frame= 3061 fps=113 q=32.0 size=    5947kB time=00:02:07.80 bitrate= 381.1kbits/s dup=1 drop=0 speed= 4.7x    
frame= 3144 fps=113 q=32.0 size=    6032kB time=00:02:11.26 bitrate= 376.4kbits/s dup=1 drop=0 speed=4.74x    
frame= 3213 fps=114 q=32.0 size=    6166kB time=00:02:14.16 bitrate= 376.5kbits/s dup=1 drop=0 speed=4.76x    
frame= 3295 fps=115 q=32.0 size=    6258kB time=00:02:17.62 bitrate= 372.5kbits/s dup=1 drop=0 speed=4.79x    
frame= 3357 fps=115 q=32.0 size=    6357kB time=00:02:20.18 bitrate= 371.5kbits/s dup=1 drop=0 speed= 4.8x    
frame= 3423 fps=115 q=32.0 size=    6508kB time=00:02:22.91 bitrate= 373.1kbits/s dup=1 drop=0 speed=4.81x    
frame= 3504 fps=116 q=32.0 size=    6593kB time=00:02:26.28 bitrate= 369.2kbits/s dup=1 drop=0 speed=4.84x    
frame= 3555 fps=116 q=32.0 size=    6716kB time=00:02:28.45 bitrate= 370.6kbits/s dup=1 drop=0 speed=4.83x    
frame= 3623 fps=116 q=32.0 size=    6806kB time=00:02:31.27 bitrate= 368.6kbits/s dup=1 drop=0 speed=4.85x    
frame= 3691 fps=116 q=32.0 size=    6919kB time=00:02:34.09 bitrate= 367.8kbits/s dup=1 drop=0 speed=4.85x    
frame= 3755 fps=116 q=32.0 size=    7004kB time=00:02:36.77 bitrate= 366.0kbits/s dup=1 drop=0 speed=4.86x    
frame= 3816 fps=116 q=32.0 size=    7101kB time=00:02:39.29 bitrate= 365.2kbits/s dup=1 drop=0 speed=4.86x    
frame= 3867 fps=116 q=32.0 size=    7203kB time=00:02:41.43 bitrate= 365.5kbits/s dup=1 drop=0 speed=4.85x    
frame= 3928 fps=116 q=32.0 size=    7316kB time=00:02:44.03 bitrate= 365.4kbits/s dup=1 drop=0 speed=4.86x    
frame= 3994 fps=117 q=32.0 size=    7408kB time=00:02:46.76 bitrate= 363.9kbits/s dup=1 drop=0 speed=4.87x    
frame= 4080 fps=117 q=32.0 size=    7487kB time=00:02:50.34 bitrate= 360.0kbits/s dup=1 drop=0 speed= 4.9x    
frame= 4130 fps=117 q=32.0 size=    7574kB time=00:02:52.39 bitrate= 359.9kbits/s dup=1 drop=0 speed=4.89x    
frame= 4186 fps=117 q=32.0 size=    7683kB time=00:02:54.74 bitrate= 360.2kbits/s dup=1 drop=0 speed=4.88x    
frame= 4258 fps=117 q=32.0 size=    7825kB time=00:02:57.72 bitrate= 360.7kbits/s dup=1 drop=0 speed=4.89x    
frame= 4318 fps=117 q=32.0 size=    7968kB time=00:03:00.24 bitrate= 362.1kbits/s dup=1 drop=0 speed= 4.9x    
frame= 4416 fps=118 q=32.0 size=    8056kB time=00:03:04.38 bitrate= 357.9kbits/s dup=1 drop=0 speed=4.94x    
frame= 4470 fps=118 q=32.0 size=    8161kB time=00:03:06.60 bitrate= 358.3kbits/s dup=1 drop=0 speed=4.93x    
frame= 4516 fps=118 q=32.0 size=    8267kB time=00:03:08.52 bitrate= 359.3kbits/s dup=1 drop=0 speed=4.92x    
frame= 4597 fps=118 q=32.0 size=    8346kB time=00:03:11.89 bitrate= 356.3kbits/s dup=1 drop=0 speed=4.94x    
frame= 4659 fps=118 q=32.0 size=    8426kB time=00:03:14.45 bitrate= 355.0kbits/s dup=1 drop=0 speed=4.94x    
frame= 4746 fps=119 q=32.0 size=    8557kB time=00:03:18.08 bitrate= 353.9kbits/s dup=1 drop=0 speed=4.97x    
frame= 4821 fps=119 q=32.0 size=    8641kB time=00:03:21.23 bitrate= 351.8kbits/s dup=1 drop=0 speed=4.98x    
frame= 4883 fps=119 q=32.0 size=    8729kB time=00:03:23.84 bitrate= 350.8kbits/s dup=1 drop=0 speed=4.98x    
frame= 4956 fps=120 q=32.0 size=    8801kB time=00:03:26.87 bitrate= 348.5kbits/s dup=1 drop=0 speed=   5x    
frame= 5011 fps=120 q=32.0 size=    8863kB time=00:03:29.17 bitrate= 347.1kbits/s dup=1 drop=0 speed=4.99x    
frame= 5062 fps=119 q=32.0 size=    8948kB time=00:03:31.30 bitrate= 346.9kbits/s dup=1 drop=0 speed=4.98x    
frame= 5124 fps=119 q=32.0 size=    9013kB time=00:03:33.86 bitrate= 345.2kbits/s dup=1 drop=0 speed=4.98x    
frame= 5182 fps=119 q=32.0 size=    9094kB time=00:03:36.29 bitrate= 344.4kbits/s dup=1 drop=0 speed=4.98x    
frame= 5239 fps=119 q=32.0 size=    9158kB time=00:03:38.64 bitrate= 343.1kbits/s dup=1 drop=0 speed=4.97x    
frame= 5300 fps=119 q=32.0 size=    9230kB time=00:03:41.24 bitrate= 341.7kbits/s dup=1 drop=0 speed=4.98x    
frame= 5361 fps=119 q=32.0 size=    9316kB time=00:03:43.76 bitrate= 341.1kbits/s dup=1 drop=0 speed=4.98x    
frame= 5422 fps=119 q=32.0 size=    9443kB time=00:03:46.28 bitrate= 341.8kbits/s dup=1 drop=0 speed=4.98x    
frame= 5517 fps=120 q=32.0 size=    9551kB time=00:03:50.25 bitrate= 339.8kbits/s dup=1 drop=0 speed=5.01x    
frame= 5607 fps=121 q=32.0 size=    9629kB time=00:03:54.00 bitrate= 337.1kbits/s dup=1 drop=0 speed=5.03x    
frame= 5669 fps=121 q=32.0 size=    9747kB time=00:03:56.60 bitrate= 337.5kbits/s dup=1 drop=0 speed=5.04x    
frame= 5758 fps=121 q=32.0 size=    9818kB time=00:04:00.32 bitrate= 334.7kbits/s dup=1 drop=0 speed=5.06x    
frame= 5842 fps=122 q=32.0 size=    9916kB time=00:04:03.81 bitrate= 333.2kbits/s dup=1 drop=0 speed=5.08x    
frame= 5917 fps=122 q=32.0 size=   10051kB time=00:04:06.97 bitrate= 333.4kbits/s dup=1 drop=0 speed=5.09x    
frame= 5972 fps=122 q=32.0 size=   10137kB time=00:04:09.23 bitrate= 333.2kbits/s dup=1 drop=0 speed=5.09x    
frame= 6022 fps=122 q=32.0 size=   10232kB time=00:04:11.32 bitrate= 333.5kbits/s dup=1 drop=0 speed=5.07x    
frame= 6077 fps=121 q=32.0 size=   10324kB time=00:04:13.63 bitrate= 333.4kbits/s dup=1 drop=0 speed=5.06x    
frame= 6114 fps=121 q=32.0 size=   10420kB time=00:04:15.16 bitrate= 334.5kbits/s dup=1 drop=0 speed=5.04x    
frame= 6179 fps=121 q=32.0 size=   10576kB time=00:04:17.89 bitrate= 336.0kbits/s dup=1 drop=0 speed=5.05x    
frame= 6268 fps=121 q=32.0 size=   10679kB time=00:04:21.56 bitrate= 334.5kbits/s dup=1 drop=0 speed=5.06x    
frame= 6336 fps=121 q=32.0 size=   10802kB time=00:04:24.42 bitrate= 334.7kbits/s dup=1 drop=0 speed=5.07x    
frame= 6398 fps=121 q=32.0 size=   10925kB time=00:04:26.98 bitrate= 335.2kbits/s dup=1 drop=0 speed=5.07x    
frame= 6472 fps=122 q=32.0 size=   11017kB time=00:04:30.10 bitrate= 334.1kbits/s dup=1 drop=0 speed=5.08x    
frame= 6508 fps=121 q=32.0 size=   11116kB time=00:04:31.59 bitrate= 335.3kbits/s dup=1 drop=0 speed=5.06x    
frame= 6544 fps=121 q=32.0 size=   11224kB time=00:04:33.08 bitrate= 336.7kbits/s dup=1 drop=0 speed=5.04x    
frame= 6615 fps=121 q=32.0 size=   11352kB time=00:04:36.07 bitrate= 336.8kbits/s dup=1 drop=0 speed=5.04x    
frame= 6674 fps=121 q=32.0 size=   11458kB time=00:04:38.50 bitrate= 337.0kbits/s dup=1 drop=0 speed=5.04x    
frame= 6718 fps=120 q=32.0 size=   11537kB time=00:04:40.34 bitrate= 337.1kbits/s dup=1 drop=0 speed=5.03x    
frame= 6769 fps=120 q=32.0 size=   11640kB time=00:04:42.47 bitrate= 337.6kbits/s dup=1 drop=0 speed=5.02x    
frame= 6851 fps=120 q=32.0 size=   11755kB time=00:04:45.93 bitrate= 336.8kbits/s dup=1 drop=0 speed=5.03x    
frame= 6901 fps=120 q=32.0 size=   11919kB time=00:04:47.97 bitrate= 339.1kbits/s dup=1 drop=0 speed=5.02x    
frame= 6971 fps=120 q=32.0 size=   12016kB time=00:04:50.88 bitrate= 338.4kbits/s dup=1 drop=0 speed=5.03x    
frame= 7076 fps=121 q=32.0 size=   12104kB time=00:04:55.27 bitrate= 335.8kbits/s dup=1 drop=0 speed=5.06x    
frame= 7166 fps=122 q=32.0 size=   12203kB time=00:04:59.03 bitrate= 334.3kbits/s dup=1 drop=0 speed=5.08x    
frame= 7257 fps=122 q=32.0 size=   12311kB time=00:05:02.82 bitrate= 333.0kbits/s dup=1 drop=0 speed= 5.1x    
frame= 7350 fps=123 q=32.0 size=   12386kB time=00:05:06.71 bitrate= 330.8kbits/s dup=1 drop=0 speed=5.12x    
